id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
308,Pectin LM 106 AS-YA,Pectin Functional Systems,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,Bake-stable gelling resisting boil-out during oven baking.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),AGLUPECTIN HS-MR; AGLUPECTIN HS-R-E440(I); AGLUPECTIN HS-SB13Z; Pectin 105C; Pectin CE 514; Pectin LM 101 AS; Pectin LM 102 AS; Pectin LM 104 AS; Pectin LM 104 AS - FS; Pectin LM104 AS (100); Pectin Ultra,Bio Ingredints Portfolio B2B.PDF,Pectin / Hydrocolloid,AWA Food Solutions,Ingreva,,24 months,,Pectin LM 106 AS-YA,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pectin LM 106 AS-YA, food grade industrial ingredient."
309,Pectin LM104 AS (100),Pectin Functional Systems,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,Bake-stable gelling resisting boil-out during oven baking.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),AGLUPECTIN HS-MR; AGLUPECTIN HS-R-E440(I); AGLUPECTIN HS-SB13Z; Pectin 105C; Pectin CE 514; Pectin LM 101 AS; Pectin LM 102 AS; Pectin LM 104 AS; Pectin LM 104 AS - FS; Pectin LM 106 AS-YA; Pectin Ultra,Bio Ingredints Portfolio B2B.PDF,Pectin / Hydrocolloid,AWA Food Solutions,Ingreva,,24 months,,Pectin LM104 AS (100),25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pectin LM104 AS (100), food grade industrial ingredient."
310,Pectin Ultra,Pectin Functional Systems,Confectionery,Gel Confectionery,Gummies / Jellies,Produces clear elastic gummy jellies with fast setting time and high heat stability.,Yes,Not found for any variants,Analyst Proposed,Missing TDS - Urgent R&D Request,[Catalog TDS Reference Linked]: Bio Ingredints Portfolio B2B.PDF | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),AGLUPECTIN HS-MR; AGLUPECTIN HS-R-E440(I); AGLUPECTIN HS-SB13Z; Pectin 105C; Pectin CE 514; Pectin LM 101 AS; Pectin LM 102 AS; Pectin LM 104 AS; Pectin LM 104 AS - FS; Pectin LM 106 AS-YA; Pectin LM104 AS (100),Bio Ingredints Portfolio B2B.PDF,Pectin / Hydrocolloid,AWA Food Solutions,Ingreva,,24 months,,Pectin Ultra,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pectin Ultra, food grade industrial ingredient."
311,Pepper Black Oleoresin 1002,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1002,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1002, food grade industrial ingredient."
312,Pepper Black Oleoresin 1003,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1003,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1003, food grade industrial ingredient."
313,Pepper Black Oleoresin 1004,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1004,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1004, food grade industrial ingredient."
314,Pepper Black Oleoresin 1005,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1005,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1005, food grade industrial ingredient."
315,Pepper Black Oleoresin 1006,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1006,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1006, food grade industrial ingredient."
316,Pepper Black Oleoresin 1007,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1007,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1007, food grade industrial ingredient."
317,Pepper Black Oleoresin 1008,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1008,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1008, food grade industrial ingredient."
318,Pepper Black Oleoresin 1009,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1009,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1009, food grade industrial ingredient."
319,Pepper Black Oleoresin 1010,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1010,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1010, food grade industrial ingredient."
320,Pepper Black Oleoresin 1011,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1011,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1011, food grade industrial ingredient."
321,Pepper Black Oleoresin 1012,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1012,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1012, food grade industrial ingredient."
322,Pepper Black Oleoresin 1013,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1013,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1013, food grade industrial ingredient."
323,Pepper Black Oleoresin 1014,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1014,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1014, food grade industrial ingredient."
324,Pepper Black Oleoresin 1015,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,"No, but copied variant",Analyst Proposed,Inherited Sibling Specs (Direct TDS Required),[Catalog TDS Reference Linked]: Oleoresin Black Pepper (Oleoresins).pdf | Note: Grade-specific active concentration & dosage left blank pending Supplier CoA.,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1001; Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,24 months,,Pepper Black Oleoresin 1015,25 kg,"Store in a cool, dry place away from direct sunlight",None declared,,"Pepper Black Oleoresin 1015, food grade industrial ingredient."
